latitude,longitude
-26.2167,31.9167
-6.8,39.2833
-6.43725,38.9067
-7.7253,38.9356
-7.72411,38.9359
-6.4,38.6667
-2.41012,32.9462
-7.77,35.69
-1.84916,31.6606
-9.7309,33.8718
-6.78132,38.9929
-6.3069,34.8539
-10.717,38.8
-8.9,33.45
-5.01667,32.7953
-10.7528,39.6227
-5.17594,38.7918
-2.5,32.9
-2.51667,32.9
-5.38333,38.5833
19.7139,98.6267
13.7279,100.524
12.6113,102.104
10.493,99.18
14.0228,99.5328
19.2991,97.9656
16.7124,98.574700000000007
16.6126,98.5921
14.4846,100.852
5.93281,101.762
9.95287,98.6085
15.2656,98.4747
7.18977,100.595
16.884,99.1258
12.6094,102.098
19.0924,100.809
6.54115,101.28
13.4531,-16.5775
13.575,-15.6072
6.13778,1.2125
2.77378,32.2941
1.98333,32.5333
3.03,30.91
0.616667,33
0.424444,33.2042
0.589668,30.2549
0.313611,32.5811
0.316667,32.5833
-0.819525,29.7426
0.5575,31.395
-0.79,29.925
0.692778,34.1811
-17.7333,168.327
-14.281,167.516
-15.6494,167.099
8.08828,-63.5536
6.98121,-61.1403
11.75,106.723
11.7512,106.723
12.71,108.238
11.6595,106.899
9.40067,105.43
14.8022,42.9511
14.7195,44.2479
-15.4167,28.2833
-16.4235,26.783
-6.16592,39.2026
-17.8639,31.0297
-4.75269,38.3438
-4.48017,39.4807
14.7417,48.1014
15.1239,50.4689
6.51941,3.38457
-3.56058,-80.4242
-12.3537,14.7762
5.4268,-4.02862
0.043023,34.318600000000004
0.08982,34.5382
21.546,84.6054
19.3966,84.0863
0.057996,34.2847
12.6842,-2.18869
30.073,71.1924
0.976823,-79.6492
26.0487,92.9099
27.4979,95.3445
27.9242,96.1717
27.1361,95.7384
5.5662,-1.27314
15.5299,37.9131
0.552923,31.3798
22.5697,88.3697
9.60222,-13.7916
6.81623,-5.35118
6.29582,-10.8046
12.6129,-8.1356
8.45456,-13.2937
6.18249,1.17665
12.1292,15.0282
3.75353,8.70697
0.411743,9.29454
8.96349,38.6381
15.5018,32.4325
4.86086,31.5071
-0.611435,30.6193
-13.9632,33.712
-15.4165,28.2037
-17.8163,30.9168
-18.8873,47.3724
8.17161,-76.0798
-5.22951,145.766
-5.16156,38.4404
10.9182,79.7234
32.8872,13.1913
-1.30446,36.7073
-6.16849,35.7239
9.05465,7.25427
12.3587,-1.60688
23.3435,85.1812
-9.35348,28.7285
-0.367868,35.2877
-3.22174,40.1229
21.4509,91.9329
14.9559,103.844
18.1964,94.8498
15.2448,104.847
-12.5905,13.4165
-6.2649,14.2343
22.0392,96.4717
14.7896,-16.9249
2.7724,32.2881
25.6254,90.0914
14.5426,44.3995
