latitude,longitude
15.8004,98.5517
-25.9667,32.5833
24.8615,67.0099
24.6176,97.9977
17.8226,97.5647
21.546,84.6054
24.7892,97.5558
28.5667,77.55
26.5365,90.6941
-5.13681,15.091
-10.717,38.8
14.7645,-17.366
5.34159,116.224
21.3032,92.8453
15.2448,104.847
18.9999,-71.9534
-9.5463,16.3349
4.84099,31.579
25.8509,97.4381
2.04405,9.78368
88.2667,27.2
7.86321,-11.1957
-10.6869,166.062
11.1781,-4.29177
14.4167,-16.9667
-8.91539,14.8696
13.1387,32.6373
-10.3543,38.6591
18.0331,97.6299
16.3915,-10.1636
19.3966,84.0863
27.4935,95.3462
20.1,80.8
-2.5,32.9
27.1911,53.7072
11.6387,92.7222
17.5047,97.6986
-8.76194,-63.9039
11.582,37.3794
26.741,94.2042
6.43374,3.42666
13.7756,34.4563
5.33871,-0.62284
17.9064,97.5436
18.1357,97.2658
-0.114999,34.8872
-0.534974,34.4592
36.7005,68.7163
13.0341,-9.4895
-1.51182,33.8052
14.7535,-17.2334
-0.183333,34.3833
-2.63143,32.606
14.75,-17.4
21.5833,83.5333
14.4342,33.083
0.357551,32.7499
33.7294,73.0931
25.6254,90.0914
-3.76608,-49.6778
-10.6649,35.6434
24.4473,98.5929
28.6406,69.1916
-3.57953,143.647
36.2037,63.7371
27.1361,95.7384
18.2791,97.4162
-1.17292,23.1669
-24.5323,32.9832
18.5364,-74.1611
-16.0191,34.8267
23.3321,86.3652
4.527,29.515
6.07275,0.501895
5.78287,0.60373
8.48444,-13.2344
-4.31501,143.046
-6.78241,38.9731
-1.24196,29.9856
27.9242,96.1717
-8.9,33.45
3.75353,8.70697
-16.4235,26.783
-4.3494,15.2333
6.98121,-61.1403
5.88169,-0.102998
18.2652,109.506
33.5728,73.0132
-0.701546,10.2404
3.61983,8.74812
25.44,93.005
-2.88624,32.2318
-19.5155,169.358
-19.6115,34.7409
15.8175,-9.41323
21.2621,81.549
9.56152,-0.947762
6.3176,5.6145
10.8847,-1.09028
16.4997,98.2443
17.8381,97.2195
19.4477,-71.6934
22.2604,84.8536
-5.38333,38.5833
11.8817,-15.6178
18.2332,97.3498
-4.40679,15.4107
-5.56277,14.4351
8.46722,16.7001
-1.44012,30.998
-10.4648,36.1332
32.8872,13.1913
4.41169,117.493
10.7803,35.5658
10.658,24.6278
3.86667,11.5167
-3.56058,-80.4242
1.61241,16.0519
19.7328,-72.195
-33.9249,18.4241
19.3629,-72.4258
16.884,99.1258
-2.51667,32.9
10.9503,104.426
22.2134,84.7541
1.98333,32.5333
-15.7697,35.0416
18.6005,-74.0197
18.2678,-72.5716
-7.98074,38.0813
15.8704,78.526
10.7061,37.0669
9.05465,7.25427
19.1412,-72.0142
24.7523,97.5822
13.8093,-10.8346
20.9517,85.0985
-0.678306,34.772
17.4206,97.6323
-2.31204,30.0592
19.7515,75.7139
27.4728,94.912
23.3275,85.296
6.75162,-1.56448
9.23444,-78.1926
12.6842,-2.18869
-11.1806,28.893
-0.0917016,34.768
14.0333,35.3833
18.5333,-72.3333
34.0774,71.1762
